Name,Contact Info,Jurisdictions Covered
"Hampton P.D. 3101 McCully Rd Allison Park, PA 15101",412-486-0900 412-486-5622 (Fax),Hampton Township
"Harmar Township P.D. 701 Freeport Rd Cheswick, PA 15024",724-274-5525 724-274-9522 (Fax),Harmar Township
"Harrison Township P.D. 1 Municipal Dr Natrona Heights, PA. 15065",724-224-3355 724-224-7001 (Fax),Harrison Township
"Heidelberg P.D. 1631 Railroad St Carnegie, PA 15106",412-276-0513,Heidelberg Borough
"Homestead P.D. 221 East 7th Ave Homestead, PA 15120",412-461-7736 412-461-2059 (Fax),Homestead Borough
"Indiana Township P.D. 3710 Saxonburg Blvd Pittsburgh, PA 15238",412-767-5333 412-767-4042 (Fax),Indiana Township
"Ingram P.D. 40 West Prospect Ave Pittsburgh, PA. 15205",412-921-6969 412-921-6367 (Fax),Ingram Borough
"Jefferson Hills P.D. 925 Old Clairton Rd Jefferson Hills, PA 15025",412-655-2222 412-655-8365 (Fax),Jefferson Hills Borough
"Kennedy Township P.D. 340 Forest Grove Rd Coraopolis, PA 15108",412-331-2408 412-771-4666 (Fax),Kennedy Township
"Leet Township P.D. 198 Ambridge Ave Ambridge, PA 15003",724-266-6141 724-266-8071 (Fax),Leet Township
"Leetsdale P.D 373 Beaver St Leetsdale, PA 15056",724-266-1380 724-266-6319 (Fax),Leetsdale Borough
"Liberty P.D. 2921 Liberty Way McKeesport, PA 15133",412-678-0606 412-678-3286 (Fax),Liberty Borough
"Lincoln P.D. 45 Abes Way Elizabeth, PA 15037",412-751-7155 412-751-3590 (Fax),Lincoln Borough
"McCandless P.D. 9955 Grubbs Rd Wexford, PA 15090",412-369-7992 412-364-4684 (Fax),McCandless Township
"McDonald P.D. 151 School St McDonald, PA 15057",724-926-2105 724-926-9716 (Fax),McDonald Borough
"McKees Rocks P.D. 340 Bell Ave McKees Rocks, PA 15136",412-331-2300 412-331-1397 (Fax),McKees Rocks Borough
"McKeesport P.D. 201 Lyle Blvd McKeesport, PA 15132",412-675-5015 412-675 5009 (Fax),City of McKeesport Dravosburg
"Millvale P.D. 501 Lincoln Ave Pittsburgh, PA 15209",412-821-3410 412-821-4160 (Fax),Millvale Borough
"Monroeville P.D. 2700 Monroeville Blvd Monroeville, PA 15146",412-856-1000 412-856-3372 (Fax),Monroeville Borough
"Moon Township P.D. 1000 Beaver Grade Rd Moon Township, PA 15108",412-262-5000 412-269-7816 (Fax),Moon Township
"Mt. Lebanon P.D. 710 Washington Rd Pittsburgh, PA. 15228",412-531-5300 412-343-5224 (Fax),Mt. Lebanon Township
"Mt. Oliver P.D. 150 Brownsville Rd Pittsburgh, PA 15210",412-431-2254 412-431-5267 (Fax),Mt. Oliver Borough
"Munhall P.D. 1900 West St Munhall, PA 15120",412-464-7300 412-464-7306 (Fax),Munhall Borough
"North Fayette P.D. 400 North Branch Rd Oakdale, PA 15071",724-693-8400 724-693-9814 (Fax),North Fayette Township
"North Versailles P.D. 1401 Greensburg Ave North Versailles, PA 15137",412-823-1111 412-823-0237 (Fax),North Versailles Township
"Northern Regional P.D. 230 Pearce Mill Rd Wexford, PA 15090",724-625-3157 724-625-3209 (Fax),Bradford Woods Borough Pine Township Marshall Township Richland Township
"Oakdale P.D. 6115 Noblestown Rd Oakdale, PA 15071",724-693-9639 724-693-0740 (Fax),Oakdale Borough
"Oakmont P.D. 769 Fifth St Oakmont, PA 15139",412-826-1578 412-828-4340 (Fax),Oakmont Borough
"OHara Township P.D. 325 Fox Chapel Rd Pittsburgh, PA 15238",412-782-1403 412-782-3291 (Fax),OHara Township
"Ohio Township P. D. 126 Lenzner Court Sewickley, PA 15143",412-259-8304 412-259-8306 (Fax),Ohio Township Alleppo Township Ben Avon Borough Ben Avon Heights Borough Emsworth Borough Kilbuck Township Neville Township Sewickley Hills Borough
"Penn Hills P.D. 102 Duff Rd Pittsburgh, PA 15235",412-793-1000 412-798-2091 (Fax),Penn Hills Township
"Pitcairn P.D. 609 Broadway Pitcairn, PA 15140",412-372-6505 412-373-1020 (Fax),Pitcairn Borough Wilmerding Borough
"Pittsburgh P.D. 1203 Western Ave Pittsburgh, PA 15233",412-323-7800,City of Pittsburgh
"Pleasant Hills P.D. 410 East Bruceton Rd Pittsburgh, PA 15236",412-655-4544 412-655-3552 (Fax),Pleasant Hills Borough
"Plum P.D. 2000 Mike Thomas Way Pittsburgh, PA 15239",412-793-7400 412-795-6549 (Fax),Plum Borough
"Port Vue P.D. 1194 Romine Ave Port Vue, PA 15133",412-664-2255 412-664-9373 (Fax),Port Vue Borough
"Reserve P.D. 33 Lonsdale St Pittsburgh, PA 15212",412-322-1559 412-322-3466 (Fax),Reserve Township
"Richland P.D. Northern Regional P.D. 230 Pearce Mill Rd Wexford, PA 15090",724-625-3157 724-625-3209 (Fax),Richland Township Bradford Woods Borough Marshall Township Pine Township
"Robinson Township P.D. 1000 Churchill Rd Pittsburgh, PA 15205",412-788-8115 412-788-8131 (Fax),Robinson Township
"Ross Township P.D. 1000 Ross Municipal Dr Pittsburgh, PA 15237",412-931-9070 412-931-7065 (Fax),Ross Township
"Scott Township P.D. 301 Lindsay Rd Carnegie, PA 15106",412-276-7725 412-276-3312 (Fax),Scott Township Rosslyn Farms
"Sewickley P.D. 601 Thorn St Sewickley, PA 15143",412-741-4119 412-741-1947 (Fax),Sewickley Borough Glen Osborne Borough
"Sewickley Heights P.D. 238 Country Club Rd Sewickley, PA 15143",412-473-3056,Sewickley Heights Borough
"Shaler Township P.D. 300 Wetzel Rd Glenshaw, PA 15116",412-492-2222 412-492-2085 (Fax),Shaler Township
"Sharpsburg P.D. 1611 Main St Pittsburgh, PA 15215",412-781-0546 412-781-4850 (Fax),Sharpsburg Borough
"South Fayette P.D. 100 Township Drive (1st Fl.) South Fayette, PA 15017",412-221-2170 412-221-6703 (Fax),South Fayette Township
"South Park P.D. 2675 Brownsville Rd Library, PA 15129",412-833-1000 412-833-8533 (Fax),South Park Township
"Springdale Borough P.D. 325 School St Springdale, PA 15144",724-274-9022 724-274-8154 (Fax),Springdale Borough
"Stowe Township P.D. 555 Broadway Ave McKees Rocks, PA 15136",412-331-4043 412-331-4299 (Fax),Stowe Township
"Swissvale P.D. 7600 Evans Street Pittsburgh, PA 15218",412-271-0430 412-271-2032 (Fax),Swissvale Borough
"Tarentum P.D. 318 East 2nd Ave Tarentum, PA 15084",724-224-1515 724-224-1876 (Fax),Brackenridge Borough Tarentum Borough
"Trafford P.D. 430 Brinton Ave Trafford, PA 15085",412-372-6550 412-372-7515 (Fax),Trafford Borough
"Turtle Creek P.D. 125 Monroeville Ave Turtle Creek, PA 15145",412-823-1200 412-824-9776 (Fax),Turtle Creek Borough
"Upper St. Clair P.D. 1820 McLaughlin Run Rd Pittsburgh, PA 15241",412-833-1113 412-33-0189 (Fax),Upper St. Clair Township
"Verona P.D. 736 East Railroad Ave Verona, PA 15147",412-28-6034 412-28-9083 (Fax),Verona Borough
"Versailles P.D. 5100 Walnut St McKeesport, PA 15132",412-751-2218 412-751-4430 (Fax),Versailles Borough
"West Deer P.D. 109 East Union Rd Cheswick, PA 15024",724-265-1100 724-265-1140 (Fax),West Deer Township
"West Homestead P.D. 456 West 8th Ave West Homestead, PA 15120",412-461-4575 412-461-6833 (Fax),West Homestead Borough
"West Mifflin P.D. 1020 Lebanon Rd West Mifflin, PA 15122",412-461-0600 412-461-3944 (Fax),West Mifflin Borough
"West View P.D. 441 Perry Hwy Pittsburgh, PA 15229",412-931-2800 412-931-1920 (Fax),West View Borough
"Whitaker P.D. 124 Grant St Whitaker, PA 15120",412-461-6622 412-461-6622 (Fax-call first),Whitaker Borough
"Whitehall P.D. 100 Borough Park Dr Pittsburgh, PA 15236",412-884-1100 412-884-4401 (Fax),Whitehall Borough
"White Oak P.D. 2280 Lincoln Way White Oak, PA 15131",412-672-9727 Ext. 234 412-672-0833 (Fax),White Oak Borough South Versailles Township
"Wilkins Township P.D. 110 Peffer Rd Turtle Creek, PA 15145",412-824-0032 412-824-6647 (Fax),Wilkins Township
"Wilkinsburg P.D. 605 Ross Ave Pittsburgh, PA 15221",412-244-2915 412-243-1786 (Fax),Wilkinsburg Borough
